T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
93,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.02,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.04,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.06,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.08,-0,0,0,0,0,0,0,0,-0,0,0,0
93.1,-0,0,0,0,0,0,0,0,-0,0,0,0
93.12,-0,0,0,0,0,0,0,0,-0,0,0,0
93.14,-0,0,0,0,0,0,0,0,-0,0,0,0
93.16,-0,0,0,0,0,0,0,0,-0,0,0,0
93.18,-0,0,0,-0,0,-0,0,0,-0,-0,0,-0
93.2,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
93.22,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
93.24,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.26,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.28,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.3,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.32,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.34,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.36,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.38,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.4,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.42,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.44,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.46,0,0,-0,0,-0,0,-0,0,0,0,-0,0
93.48,-0,0,-0,0,-0,0,0,0,0,0,0,0
93.5,-0,0,-0,0,-0,0,0,0,-0,0,0,0
93.52,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.54,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.56,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.58,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.6,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.62,-0,0,0,0,-0,0,0,0,-0,0,0,0
93.64,-0,0,0,0,0,0,0,0,-0,0,0,0
93.66,-0,0,0,0,0,0,0,0,-0,0,0,0
93.68,-0,0,0,0,0,0,0,0,-0,0,0,0
93.7,-0,0,0,0,0,0,0,0,-0,0,0,0
93.72,-0,0,0,0,0,0,0,0,-0,0,0,0
93.74,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
93.76,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
93.78,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
93.8,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.82,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.84,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.86,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.88,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
93.9,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.92,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.94,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.96,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
93.98,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.02,0,0,-0,0,-0,0,0,0,0,0,0,0
94.04,-0,0,-0,0,-0,0,0,0,-0,0,0,0
94.06,-0,0,-0,0,-0,0,0,0,-0,0,0,0
94.08,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.1,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.12,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.14,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.16,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.18,-0,0,0,0,0,0,0,0,-0,0,0,0
94.2,-0,0,0,0,0,0,0,0,-0,0,0,0
94.22,-0,0,0,0,0,0,0,0,-0,0,0,0
94.24,-0,0,0,0,0,0,0,0,-0,0,0,0
94.26,-0,0,0,0,0,0,0,0,-0,0,0,0
94.28,-0,0,0,0,0,0,0,0,-0,0,0,0
94.3,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
94.32,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
94.34,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
94.36,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.38,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.4,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.42,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.44,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.46,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.48,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.5,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.52,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.54,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.56,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
94.58,0,0,-0,0,-0,0,0,0,0,0,0,0
94.6,-0,0,-0,0,-0,0,0,0,-0,0,0,0
94.62,-0,0,-0,0,-0,0,0,0,-0,0,0,0
94.64,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.66,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.68,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.7,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.72,-0,0,0,0,-0,0,0,0,-0,0,0,0
94.74,-0,0,0,0,0,0,0,0,-0,0,0,0
94.76,-0,0,0,0,0,0,0,0,-0,0,0,0
94.78,-0,0,0,0,0,0,0,0,-0,0,0,0
94.8,-0,0,0,0,0,0,0,0,-0,0,0,0
94.82,-0,0,0,0,0,0,0,0,-0,0,0,0
94.84,-0,0,0,0,0,0,0,0,-0,0,0,0
94.86,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
94.88,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
94.9,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
94.92,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.94,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.96,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
94.98,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.02,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.04,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.06,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.08,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.1,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.12,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.14,0,0,-0,0,-0,0,0,0,0,0,0,0
95.16,-0,0,-0,0,-0,0,0,0,-0,0,0,0
95.18,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.2,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.22,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.24,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.26,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.28,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.3,-0,0,0,0,0,0,0,0,-0,0,0,0
95.32,-0,0,0,0,0,0,0,0,-0,0,0,0
95.34,-0,0,0,0,0,0,0,0,-0,0,0,0
95.36,-0,0,0,0,0,0,0,0,-0,0,0,0
95.38,-0,0,0,0,0,0,0,0,-0,0,0,0
95.4,-0,0,0,0,0,0,0,0,-0,0,0,0
95.42,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
95.44,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
95.46,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.48,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.5,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.52,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.54,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.56,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
95.58,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.6,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.62,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.64,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.66,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.68,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
95.7,0,0,-0,0,-0,0,0,0,0,0,0,0
95.72,-0,0,-0,0,-0,0,0,0,-0,0,0,0
95.74,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.76,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.78,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.8,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.82,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.84,-0,0,0,0,-0,0,0,0,-0,0,0,0
95.86,-0,0,0,0,0,0,0,0,-0,0,0,0
95.88,-0,0,0,0,0,0,0,0,-0,0,0,0
95.9,-0,0,0,0,0,0,0,0,-0,0,0,0
95.92,-0,0,0,0,0,0,0,0,-0,0,0,0
95.94,-0,0,0,0,0,0,0,0,-0,0,0,0
95.96,-0,0,0,0,0,0,0,0,-0,0,0,0
95.98,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
96,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
96.02,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.04,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.06,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.08,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.1,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.12,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.14,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.16,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.18,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.2,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.22,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.24,0,0,-0,0,-0,0,-0,0,0,0,-0,0
96.26,0,0,-0,0,-0,0,0,0,0,0,0,0
96.28,-0,0,-0,0,-0,0,0,0,-0,0,0,0
96.3,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.32,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.34,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.36,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.38,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.4,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.42,-0,0,0,0,0,0,0,0,-0,0,0,0
96.44,-0,0,0,0,0,0,0,0,-0,0,0,0
96.46,-0,0,0,0,0,0,0,0,-0,0,0,0
96.48,-0,0,0,0,0,0,0,0,-0,0,0,0
96.5,-0,0,0,0,0,0,0,0,-0,0,0,0
96.52,-0,0,0,-0,0,-0,0,0,-0,-0,0,-0
96.54,0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
96.56,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
96.58,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.6,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.62,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.64,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.66,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.68,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
96.7,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.72,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.74,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.76,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.78,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
96.8,0,0,-0,0,-0,0,0,0,0,0,0,0
96.82,-0,0,-0,0,-0,0,0,0,-0,0,0,0
96.84,-0,0,-0,0,-0,0,0,0,-0,0,0,0
96.86,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.88,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.9,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.92,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.94,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.96,-0,0,0,0,-0,0,0,0,-0,0,0,0
96.98,-0,0,0,0,0,0,0,0,-0,0,0,0
97,-0,0,0,0,0,0,0,0,-0,0,0,0
97.02,-0,0,0,0,0,0,0,0,-0,0,0,0
97.04,-0,0,0,0,0,0,0,0,-0,0,0,0
97.06,-0,0,0,0,0,0,0,0,-0,0,0,0
97.08,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
97.1,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
97.12,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
97.14,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.16,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.18,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.2,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.22,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.24,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.26,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.28,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.3,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.32,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.34,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.36,0,0,-0,0,-0,0,0,0,0,0,0,0
97.38,-0,0,-0,0,-0,0,0,0,-0,0,0,0
97.4,-0,0,-0,0,-0,0,0,0,-0,0,0,0
97.42,-0,0,0,0,-0,0,0,0,-0,0,0,0
97.44,-0,0,0,0,-0,0,0,0,-0,0,0,0
97.46,-0,0,0,0,-0,0,0,0,-0,0,0,0
97.48,-0,0,0,0,-0,0,0,0,-0,0,0,0
97.5,-0,0,0,0,-0,0,0,0,-0,0,0,0
97.52,-0,0,0,0,0,0,0,0,-0,0,0,0
97.54,-0,0,0,0,0,0,0,0,-0,0,0,0
97.56,-0,0,0,0,0,0,0,0,-0,0,0,0
97.58,-0,0,0,0,0,0,0,0,-0,0,0,0
97.6,-0,0,0,0,0,0,0,0,-0,0,0,0
97.62,-0,0,0,0,0,0,0,0,-0,0,0,0
97.64,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
97.66,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
97.68,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
97.7,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.72,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.74,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.76,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.78,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
97.8,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.82,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.84,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.86,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.88,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.9,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
97.92,0,0,-0,0,-0,0,0,0,0,0,0,0
97.94,-0,0,-0,0,-0,0,0,0,-0,0,0,0
97.96,-0,0,-0,0,-0,0,0,0,-0,0,0,0
97.98,-0,0,0,0,-0,0,0,0,-0,0,0,0
98,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.02,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.04,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.06,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.08,-0,0,0,0,0,0,0,0,-0,0,0,0
98.1,-0,0,0,0,0,0,0,0,-0,0,0,0
98.12,-0,0,0,0,0,0,0,0,-0,0,0,0
98.14,-0,0,0,0,0,0,0,0,-0,0,0,0
98.16,-0,0,0,0,0,0,0,0,-0,0,0,0
98.18,-0,0,0,0,0,0,0,0,-0,0,0,0
98.2,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
98.22,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
98.24,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.26,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.28,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.3,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.32,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.34,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.36,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.38,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.4,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.42,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.44,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.46,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.48,0,0,-0,0,-0,0,0,0,0,0,0,0
98.5,-0,0,-0,0,-0,0,0,0,-0,0,0,0
98.52,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.54,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.56,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.58,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.6,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.62,-0,0,0,0,-0,0,0,0,-0,0,0,0
98.64,-0,0,0,0,0,0,0,0,-0,0,0,0
98.66,-0,0,0,0,0,0,0,0,-0,0,0,0
98.68,-0,0,0,0,0,0,0,0,-0,0,0,0
98.7,-0,0,0,0,0,0,0,0,-0,0,0,0
98.72,-0,0,0,0,0,0,0,0,-0,0,0,0
98.74,-0,0,0,0,0,0,0,0,-0,0,0,0
98.76,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
98.78,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
98.8,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.82,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.84,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.86,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.88,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.9,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
98.92,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.94,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.96,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
98.98,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.02,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.04,0,0,-0,0,-0,0,0,0,0,0,0,0
99.06,-0,0,-0,0,-0,0,0,0,-0,0,0,0
99.08,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.1,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.12,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.14,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.16,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.18,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.2,-0,0,0,0,0,0,0,0,-0,0,0,0
99.22,-0,0,0,0,0,0,0,0,-0,0,0,0
99.24,-0,0,0,0,0,0,0,0,-0,0,0,0
99.26,-0,0,0,0,0,0,0,0,-0,0,0,0
99.28,-0,0,0,0,0,0,0,0,-0,0,0,0
99.3,-0,0,0,0,0,0,0,0,-0,0,0,0
99.32,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
99.34,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
99.36,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.38,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.4,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.42,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.44,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.46,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.48,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.5,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.52,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.54,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.56,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
99.58,0,0,-0,0,-0,0,-0,0,0,0,-0,0
99.6,-0,0,-0,0,-0,0,0,0,0,0,0,0
99.62,-0,0,-0,0,-0,0,0,0,-0,0,0,0
99.64,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.66,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.68,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.7,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.72,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.74,-0,0,0,0,-0,0,0,0,-0,0,0,0
99.76,-0,0,0,0,0,0,0,0,-0,0,0,0
99.78,-0,0,0,0,0,0,0,0,-0,0,0,0
99.8,-0,0,0,0,0,0,0,0,-0,0,0,0
99.82,-0,0,0,0,0,0,0,0,-0,0,0,0
99.84,-0,0,0,0,0,0,0,0,-0,0,0,0
99.86,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
99.88,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
99.9,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
99.92,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.94,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.96,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
99.98,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.02,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.04,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.06,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.08,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.1,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.12,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.14,0,0,-0,0,-0,0,0,0,0,0,0,0
100.16,-0,0,-0,0,-0,0,0,0,-0,0,0,0
100.18,-0,0,-0,0,-0,0,0,0,-0,0,0,0
100.2,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.22,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.24,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.26,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.28,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.3,-0,0,0,0,0,0,0,0,-0,0,0,0
100.32,-0,0,0,0,0,0,0,0,-0,0,0,0
100.34,-0,0,0,0,0,0,0,0,-0,0,0,0
100.36,-0,0,0,0,0,0,0,0,-0,0,0,0
100.38,-0,0,0,0,0,0,0,0,-0,0,0,0
100.4,-0,0,0,0,0,0,0,0,-0,0,0,0
100.42,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
100.44,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
100.46,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
100.48,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.5,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.52,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.54,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.56,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
100.58,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.6,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.62,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.64,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.66,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.68,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
100.7,0,0,-0,0,-0,0,0,0,0,0,0,0
100.72,-0,0,-0,0,-0,0,0,0,-0,0,0,0
100.74,-0,0,-0,0,-0,0,0,0,-0,0,0,0
100.76,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.78,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.8,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.82,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.84,-0,0,0,0,-0,0,0,0,-0,0,0,0
100.86,-0,0,0,0,0,0,0,0,-0,0,0,0
100.88,-0,0,0,0,0,0,0,0,-0,0,0,0
100.9,-0,0,0,0,0,0,0,0,-0,0,0,0
100.92,-0,0,0,0,0,0,0,0,-0,0,0,0
100.94,-0,0,0,0,0,0,0,0,-0,0,0,0
100.96,-0,0,0,0,0,0,0,0,-0,0,0,0
100.98,-0,0,0,-0,0,-0,-0,0,-0,-0,-0,-0
101,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
101.02,0,0,0,-0,0,-0,-0,0,0,-0,-0,-0
101.04,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
101.06,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
101.08,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
101.1,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
101.12,0,0,-0,-0,0,-0,-0,0,0,-0,-0,-0
101.14,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.16,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.18,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.2,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.22,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.24,0,0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
101.26,0,0,-0,0,-0,0,0,0,0,0,0,0
101.28,-0,0,-0,0,-0,0,0,0,-0,0,0,0
101.3,-0,0,-0,0,-0,0,0,0,-0,0,0,0
101.32,-0,0,0,0,-0,0,0,0,-0,0,0,0
101.34,-0,0,0,0,-0,0,0,0,-0,0,0,0
101.36,-0,0,0,0,-0,0,0,0,-0,0,0,0
101.38,-0,0,0,0,-0,0,0,0,-0,0,0,0
101.4,-0,0,0,0,-0,0,0,0,-0,0,0,0
101.42,-0,0,0,0,0,0,0,0,-0,0,0,0
